Название;мл. класс;ст. класс;дата начала;дата окончания;этап;предварительная регистрация;ключ
ВСОШ по английскому языку;4;10;15.06.2022;18.06.2022;0;нет;да
ВСОШ по астрономии;4;10;16.06.2022;19.06.2022;0;нет;да
ВСОШ по биологии;4;6;17.06.2022;20.06.2022;0;нет;да
ВСОШ по биологии;7;10;18.06.2022;21.06.2022;0;нет;да
ВСОШ по географии;4;10;19.06.2022;22.06.2022;0;нет;да
ВСОШ по информатике;4;10;20.06.2022;23.06.2022;0;нет;да
ВСОШ по искусству;6;10;21.06.2022;24.06.2022;0;нет;да
ВСОШ по испанскому языку;4;10;22.06.2022;25.06.2022;0;нет;да
ВСОШ по истории;4;10;23.06.2022;26.06.2022;0;нет;да
ВСОШ по итальянскому языку;4;10;24.06.2022;27.06.2022;0;нет;да
ВСОШ по китайскому языку;4;10;25.06.2022;28.06.2022;0;нет;да
ВСОШ по литературе;4;10;26.06.2022;29.06.2022;0;нет;да
ВСОШ по математике;3;6;27.06.2022;30.06.2022;0;нет;да
ВСОШ по математике;7;10;28.06.2022;01.07.2022;0;нет;да
ВСОШ по немецкому языку;4;10;29.06.2022;02.07.2022;0;нет;да
ВСОШ по ОБЖ;4;10;30.06.2022;03.07.2022;0;нет;да
ВСОШ по обществознанию;4;10;01.07.2022;04.07.2022;0;нет;да
ВСОШ по праву;4;10;02.07.2022;05.07.2022;0;нет;да
ВСОШ по русскому языку;3;10;03.07.2022;06.07.2022;0;нет;да
ВСОШ по технологии (КД);4;10;04.07.2022;07.07.2022;-2;нет;да
ВСОШ по технологии (РТ);4;10;05.07.2022;08.07.2022;-1;нет;да
ВСОШ по технологии (ТТ);4;10;06.07.2022;09.07.2022;0;нет;да
ВСОШ по физике;6;10;07.07.2022;10.07.2022;0;нет;да
ВСОШ по физической культуре;4;10;08.07.2022;11.07.2022;0;нет;да
ВСОШ по французскому языку;4;10;09.07.2022;12.07.2022;0;нет;да
ВСОШ по химии;6;10;10.07.2022;13.07.2022;0;нет;да
ВСОШ по экологии;4;10;11.07.2022;14.07.2022;0;нет;да
ВСОШ по экономике;6;10;12.07.2022;15.07.2022;0;нет;да
