Предмет;Код предмета;Раздел
Английский язык;eng;Гуманитарные науки
Астрономия;astr;Естественные науки
Физика1;phys;Странные
Химия1;chem;Странные
Биология;bio;Естественные науки
Экология;ecol;Естественные науки
Русский язык;rus;Базовый
Испанский язык;spain;Гуманитарные науки
Французский язык;french;Гуманитарные науки
Лингвистика;ling;Гуманитарные науки
Немецкий язык;germ;Гуманитарные науки
Обществознание;social;Общественные науки
Право;law;Общественные науки
Экономика;econ;Общественные науки
Математика;math;Базовый
